1,Microsoft Corp,MSFT,10.811,341.75,2.63,(0.78%)
2,Apple Inc,AAPL,10.763,157.81,4.32,(2.81%)
3,Amazon.com Inc,AMZN,7.625,3,701.99,152.99,(4.31%)
4,Tesla Inc,TSLA,5.727,1,088.88,-0.13,(-0.01%)
5,NVIDIA Corp,NVDA,4.722,317.75,25.14,(8.59%)
6,Alphabet Inc,GOOG,4.049,3,016.00,34.76,(1.17%)
7,Alphabet Inc,GOOGL,3.782,2,998.75,37.81,(1.28%)
8,Meta Platforms Inc,FB,3.446,339.70,-1.07,(-0.31%)
9,Adobe Inc,ADBE,2.062,669.91,-0.76,(-0.11%)
10,Netflix Inc,NFLX,1.976,682.67,-9.02,(-1.30%)
11,Comcast Corp,CMCSA,1.589,52.78,-0.95,(-1.77%)
12,PayPal Holdings Inc,PYPL,1.565,200.80,-5.47,(-2.65%)
13,Cisco Systems Inc/Delaware,CSCO,1.544,53.75,-3.01,(-5.30%)
14,Broadcom Inc,AVGO,1.509,574.33,4.69,(0.82%)
15,Costco Wholesale Corp,COST,1.502,529.93,3.64,(0.69%)
16,PepsiCo Inc,PEP,1.458,163.55,0.18,(0.11%)
17,QUALCOMM Inc,QCOM,1.336,184.00,0.46,(0.25%)
18,Intel Corp,INTC,1.315,49.60,-0.63,(-1.25%)
19,Advanced Micro Devices Inc,AMD,1.185,154.72,3.38,(2.23%)
20,Texas Instruments Inc,TXN,1.13,193.47,3.90,(2.06%)
21,Intuit Inc,INTU,1.12,689.00,53.94,(8.49%)
22,Honeywell International Inc,HON,0.983,219.34,-1.15,(-0.52%)
23,T-Mobile US Inc,TMUS,0.944,117.30,0.11,(0.09%)
24,Applied Materials Inc,AMAT,0.909,150.70,-5.28,(-3.39%)
25,Starbucks Corp,SBUX,0.856,112.80,0.28,(0.25%)
26,Intuitive Surgical Inc,ISRG,0.833,359.20,-2.22,(-0.61%)
27,Charter Communications Inc,CHTR,0.82,685.88,-5.16,(-0.75%)
28,Amgen Inc,AMGN,0.754,204.71,-1.11,(-0.54%)
